image,type,subtype,concatenated_type,set
100110600.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100173100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100030900.png,Rost,Strassenrost,Rost / Strassenrost,train
100089200.png,Andere,-,Andere / -,train
100075700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100070400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100214100.png,Rost,Strassenrost,Rost / Strassenrost,train
100151700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100032100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100047100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100099300.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100176700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100069900.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100046300.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100097200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100057900.png,Rost,Strassenrost,Rost / Strassenrost,train
100067200.png,Rost,Strassenrost,Rost / Strassenrost,train
100126300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100127000.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100000200.png,Rost,Strassenrost,Rost / Strassenrost,train
100112700.png,Vollguss,Aufklappbar,Vollguss / Aufklappbar,train
100141800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100204900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100059300.png,Rost,Strassenrost,Rost / Strassenrost,train
100172300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100194500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100123100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100137500.png,Rost,Strassenrost,Rost / Strassenrost,val
100118100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100097300.png,Rost,Strassenrost,Rost / Strassenrost,train
100048000.png,Andere,-,Andere / -,test
100174000.png,Rost,Strassenrost,Rost / Strassenrost,train
100080500.png,Rost,Strassenrost,Rost / Strassenrost,train
100165500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100064300.png,Rost,Strassenrost,Rost / Strassenrost,test
100110300.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100095200.png,Andere,-,Andere / -,train
100014900.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100136700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100123600.png,Rost,Strassenrost,Rost / Strassenrost,train
100042800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100009900.png,Andere,-,Andere / -,train
100137900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100115600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100134800.png,Rost,Strassenrost,Rost / Strassenrost,train
100094800.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100020000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100035700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100054300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100036400.png,Rost,Strassenrost,Rost / Strassenrost,train
100039900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,test
100195800.png,Rost,Strassenrost,Rost / Strassenrost,train
100100300.png,Rost,Strassenrost,Rost / Strassenrost,train
100063400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100034800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100209900.png,Rost,Strassenrost,Rost / Strassenrost,train
100030800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100110400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100189400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100149100.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",val
100183400.png,Andere,-,Andere / -,train
100160900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100125100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100175700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100176300.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100205600.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,val
100023400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100005000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100169600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100010700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100153300.png,Rost,Strassenrost,Rost / Strassenrost,train
100215200.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100197700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100178800.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100066300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100212400.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100182400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100133300.png,Rost,Strassenrost,Rost / Strassenrost,train
100124000.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100172000.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100175500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100077800.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100004200.png,Rost,Strassenrost,Rost / Strassenrost,train
100215700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100096900.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100052000.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100217600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100211400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100162900.png,Rost,Strassenrost,Rost / Strassenrost,test
100187400.png,Rost,Strassenrost,Rost / Strassenrost,train
100146400.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100031900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100129300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100177900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100047400.png,Rost,Strassenrost,Rost / Strassenrost,train
100194300.png,Rost,Strassenrost,Rost / Strassenrost,train
100013300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100086000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100024100.png,Rost,Strassenrost,Rost / Strassenrost,train
100014500.png,Rost,Strassenrost,Rost / Strassenrost,train
100140100.png,Rost,Strassenrost,Rost / Strassenrost,train
100040000.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100179700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100126400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100004900.png,Andere,-,Andere / -,train
100008100.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100212800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100139000.png,Rost,Strassenrost,Rost / Strassenrost,train
100168900.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100096300.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100148100.png,Rost,Strassenrost,Rost / Strassenrost,train
100127500.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100200300.png,Rost,Strassenrost,Rost / Strassenrost,train
100149700.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100018000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100031200.png,Rost,Strassenrost,Rost / Strassenrost,test
100182300.png,Rost,Strassenrost,Rost / Strassenrost,train
100026400.png,Andere,-,Andere / -,train
100038400.png,Andere,-,Andere / -,train
100023100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100057800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100072400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100030100.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100020900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100058400.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100173400.png,Rost,Strassenrost,Rost / Strassenrost,train
100125300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100124800.png,Rost,Strassenrost,Rost / Strassenrost,test
100117700.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100178500.png,Rost,Strassenrost,Rost / Strassenrost,train
100121600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100105500.png,Rost,Strassenrost,Rost / Strassenrost,train
100183900.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100094600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100075000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100174900.png,Rost,Strassenrost,Rost / Strassenrost,test
100099100.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100116600.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100124500.png,Rost,Strassenrost,Rost / Strassenrost,train
100033100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100144600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100013200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100157700.png,Rost,Strassenrost,Rost / Strassenrost,train
100194600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100215100.png,Vollguss,Aufklappbar,Vollguss / Aufklappbar,train
100027700.png,Andere,-,Andere / -,train
100068200.png,Rost,Strassenrost,Rost / Strassenrost,train
100050000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100200000.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100207600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100194800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100151300.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100135100.png,Rost,Strassenrost,Rost / Strassenrost,val
100048900.png,Rost,Strassenrost,Rost / Strassenrost,train
100130400.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100139800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100062200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100171700.png,Andere,-,Andere / -,train
100031100.png,Rost,Strassenrost,Rost / Strassenrost,train
100174100.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,test
100078200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100112100.png,Rost,Strassenrost,Rost / Strassenrost,test
100133400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100051500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100113100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100130100.png,Rost,Strassenrost,Rost / Strassenrost,train
100061700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100180000.png,Rost,Einlauf rund,Rost / Einlauf rund,test
100142900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100198600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100095800.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",val
100004400.png,Rost,Strassenrost,Rost / Strassenrost,test
100149300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100105000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100193400.png,Rost,Strassenrost,Rost / Strassenrost,train
100157100.png,Andere,-,Andere / -,val
100130500.png,Andere,-,Andere / -,train
100169800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100056900.png,Rost,Strassenrost,Rost / Strassenrost,train
100168300.png,Rost,Strassenrost,Rost / Strassenrost,train
100109000.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100066900.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100073800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100191300.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,test
100025100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100134500.png,Rost,Strassenrost,Rost / Strassenrost,test
100194900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100024700.png,Rost,Strassenrost,Rost / Strassenrost,train
100198000.png,Rost,Strassenrost,Rost / Strassenrost,train
100112400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100132100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100149900.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100143500.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100208200.png,Rost,Strassenrost,Rost / Strassenrost,train
100161500.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100113600.png,Rost,Strassenrost,Rost / Strassenrost,train
100183200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100186000.png,Rost,Strassenrost,Rost / Strassenrost,train
100203700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100168300.png,Rost,Strassenrost,Rost / Strassenrost,val
100117100.png,Rost,Strassenrost,Rost / Strassenrost,train
100082000.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100099500.png,Rost,Strassenrost,Rost / Strassenrost,train
100186700.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100071700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100086900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100103400.png,Rost,Strassenrost,Rost / Strassenrost,test
100201300.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100076600.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100188600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100123000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100040200.png,Andere,-,Andere / -,train
100058000.png,Rost,Strassenrost,Rost / Strassenrost,train
100205500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100081400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100109300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100182000.png,Rost,Strassenrost,Rost / Strassenrost,train
100085400.png,Rost,Strassenrost,Rost / Strassenrost,val
100174300.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100170400.png,Rost,Strassenrost,Rost / Strassenrost,train
100199300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100068400.png,Rost,Strassenrost,Rost / Strassenrost,train
100099600.png,Rost,Strassenrost,Rost / Strassenrost,train
100094000.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100102600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100098800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100023700.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100032900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100113400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100144200.png,Rost,Strassenrost,Rost / Strassenrost,test
100217300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100039200.png,Rost,Strassenrost,Rost / Strassenrost,train
100007400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100206900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100131600.png,Andere,-,Andere / -,train
100014100.png,Rost,Strassenrost,Rost / Strassenrost,train
100166800.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100001400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100017000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100051100.png,Rost,Strassenrost,Rost / Strassenrost,train
100108400.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100057500.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100002200.png,Rost,Strassenrost,Rost / Strassenrost,train
100138800.png,Rost,Strassenrost,Rost / Strassenrost,train
100048700.png,Rost,Einlauf rund,Rost / Einlauf rund,val
100185700.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100039000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100037300.png,Rost,Strassenrost,Rost / Strassenrost,val
100049700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100164700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100099000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100031700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100070300.png,Rost,Strassenrost,Rost / Strassenrost,train
100109500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100000000.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100059100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100120100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100107600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100025500.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,test
100084700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100129200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100019000.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100092500.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100070600.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100073100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100084800.png,Andere,-,Andere / -,test
100177300.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100076200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100153200.png,Rost,Strassenrost,Rost / Strassenrost,train
100013000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100176100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100058700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100050900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100155400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100170900.png,Rost,Strassenrost,Rost / Strassenrost,train
100124200.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",test
100165100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100008500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100167400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100211200.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100001600.png,Rost,Strassenrost,Rost / Strassenrost,train
100058900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100064600.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,val
100132300.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100175600.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100102400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100128100.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100088000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100002900.png,Andere,-,Andere / -,train
100071800.png,Rost,Strassenrost,Rost / Strassenrost,test
100198300.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100085800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100131100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100070900.png,Rost,Strassenrost,Rost / Strassenrost,train
100099200.png,Rost,Strassenrost,Rost / Strassenrost,train
100067100.png,Rost,Strassenrost,Rost / Strassenrost,train
100120300.png,Rost,Strassenrost,Rost / Strassenrost,train
100094900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100076100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100005300.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100089900.png,Rost,Strassenrost,Rost / Strassenrost,train
100034300.png,Rost,Strassenrost,Rost / Strassenrost,train
100035500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100056400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100062500.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100143000.png,Rost,Strassenrost,Rost / Strassenrost,test
100198000.png,Rost,Strassenrost,Rost / Strassenrost,train
100083000.png,Andere,-,Andere / -,test
100016000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100159400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100110000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100160300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100166000.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100018400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100016700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100020100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100177700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100126700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100216500.png,Rost,Strassenrost,Rost / Strassenrost,train
100044200.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100117500.png,Rost,Strassenrost,Rost / Strassenrost,test
100112300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100188400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100160500.png,Rost,Strassenrost,Rost / Strassenrost,train
100163600.png,Rost,Strassenrost,Rost / Strassenrost,train
100161900.png,Rost,Strassenrost,Rost / Strassenrost,test
100111100.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100063200.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100135800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100141100.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100006200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100191100.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100162600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100200700.png,Rost,Strassenrost,Rost / Strassenrost,train
100131000.png,Rost,Strassenrost,Rost / Strassenrost,train
100191600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100045100.png,Rost,Strassenrost,Rost / Strassenrost,train
100007900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100157200.png,Rost,Strassenrost,Rost / Strassenrost,train
100174600.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100059600.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100100600.png,Rost,Strassenrost,Rost / Strassenrost,train
100096000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100044700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100192300.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100134400.png,Andere,-,Andere / -,train
100044100.png,Rost,Strassenrost,Rost / Strassenrost,train
100064000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100159900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100084300.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100140900.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,test
100199100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100122300.png,Rost,Strassenrost,Rost / Strassenrost,train
100051600.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100136000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100125500.png,Rost,Strassenrost,Rost / Strassenrost,train
100172400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100213200.png,Rost,Strassenrost,Rost / Strassenrost,train
100165000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100188300.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100098300.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
