image,set,label
100102700_double_flip.png,train,Rost/Strassenrost
100127000_double_flip.png,train,Rost/Einlauf rund
100149200_double_flip.png,train,Rost/Strassenrost
100075900_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100083200_double_flip.png,train,Gussbeton/Pickelloch belueftet
100041400_double_flip.png,train,Vollguss/Handgriff geschlossen
100123800_double_flip.png,train,Vollguss/Pickelloch geschlossen
100146300_double_flip.png,train,Rost/Strassenrost
100140800_double_flip.png,train,Gussbeton/Pickelloch belueftet
100133700_double_flip.png,train,Vollguss/Handgriff geschlossen
100176100_double_flip.png,train,Vollguss/Handgriff geschlossen
100206100_double_flip.png,train,Vollguss/Aufklappbar
100041600_double_flip.png,train,Gussbeton/Pickelloch belueftet
100126600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100151600_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100153500_double_flip.png,train,Vollguss/Pickelloch geschlossen
100006500_double_flip.png,train,Rost/Strassenrost
100101700_double_flip.png,train,Gussbeton/Pickelloch belueftet
100156000_double_flip.png,train,Vollguss/Handgriff geschlossen
100181700_double_flip.png,train,Vollguss/Pickelloch belueftet
100127900_double_flip.png,train,Rost/Strassenrost
100187800_double_flip.png,train,Rost/Strassenrost
100142200_double_flip.png,train,Vollguss/Pickelloch belueftet
100166300_double_flip.png,train,Rost/Strassenrost
100176000_double_flip.png,train,Rost/Strassenrost
100035800_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100138200_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100153300_double_flip.png,train,Rost/Strassenrost
100103500_double_flip.png,train,Rost/Strassenrost
100139200_double_flip.png,train,Rost/Strassenrost
100014600_double_flip.png,train,Rost/Strassenrost
100133100_double_flip.png,train,Vollguss/Handgriff geschlossen
100147300_double_flip.png,train,Vollguss/Pickelloch geschlossen
100156400_double_flip.png,train,Vollguss/Pickelloch geschlossen
100173400_double_flip.png,train,Rost/Strassenrost
100067600_double_flip.png,train,Rost/Strassenrost
100188300_double_flip.png,train,Vollguss/Pickelloch belueftet
100090100_double_flip.png,train,Vollguss/Pickelloch belueftet
100004200_double_flip.png,train,Rost/Strassenrost
100135900_double_flip.png,train,Vollguss/Pickelloch geschlossen
100184900_horizontal_flip.png,train,Rost/Strassenrost
100034700_horizontal_flip.png,train,Rost/Strassenrost
100003200_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100004000_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100125300_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100030400_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100041100_horizontal_flip.png,train,Rost/Strassenrost
100046600_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100104400_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100146100_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100155900_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100005100_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100085800_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100013000_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100092000_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100049100_horizontal_flip.png,train,Rost/Strassenrost
100139500_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100020000_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100074500_horizontal_flip.png,train,Gussbeton/Handgriff mitte
100093500_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100109500_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100010700_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100088900_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100055700_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100135700_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100110300_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100047000_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100085300_horizontal_flip.png,train,Rost/Einlauf rund
100089900_horizontal_flip.png,train,Rost/Strassenrost
100129900_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100162600_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100215200_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100022600_horizontal_flip.png,train,Rost/Einlauf rund
100188400_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100156900_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100089000_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100096000_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100147000_horizontal_flip.png,train,Gussbeton/Handgriff seitlich
100208500_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100029100_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100138000_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100193500_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100094300_horizontal_flip.png,train,Rost/Strassenrost
100215600_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100068100_horizontal_flip.png,train,Rost/Strassenrost
100135800_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100210500_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100123300_horizontal_flip.png,train,Rost/Strassenrost
100001500_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100103700_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100205100_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100024800_horizontal_flip.png,train,Rost/Einlauf rund
100047300_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100013500_horizontal_flip.png,train,Gussbeton/Handgriff seitlich
100216700_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100039200_horizontal_flip.png,train,Rost/Strassenrost
100054300_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100099600_horizontal_flip.png,train,Rost/Strassenrost
100165000_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100194100_horizontal_flip.png,train,Rost/Strassenrost
100094000_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100043800_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100132200_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100066300_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100130900_horizontal_flip.png,train,Rost/Strassenrost
100072100_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100127600_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100087600_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100195100_horizontal_flip.png,train,Rost/Strassenrost
100165700_horizontal_flip.png,train,Rost/Strassenrost
100191800_horizontal_flip.png,train,Rost/Strassenrost
100184300_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100012700_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100059100_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100208200_horizontal_flip.png,train,Rost/Strassenrost
100109800_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100055500_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100098500_horizontal_flip.png,train,Rost/Strassenrost
100060700_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100002300_horizontal_flip.png,train,Rost/Strassenrost
100157500_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100210700_horizontal_flip.png,train,Rost/Strassenrost
100010500_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100051000_horizontal_flip.png,train,Rost/Einlauf rund
100163900_horizontal_flip.png,train,Rost/Strassenrost
100204100_horizontal_flip.png,train,Rost/Einlauf rund
100069900_horizontal_flip.png,train,Rost/Einlauf rund
100036400_horizontal_flip.png,train,Rost/Strassenrost
100036800_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100026800_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100186600_horizontal_flip.png,train,Rost/Strassenrost
100132900_horizontal_flip.png,train,Gussbeton/Handgriff mitte
100001900_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100005500_horizontal_flip.png,train,Rost/Strassenrost
100209100_horizontal_flip.png,train,Rost/Strassenrost
100133300_horizontal_flip.png,train,Rost/Strassenrost
100153100_horizontal_flip.png,train,Gussbeton/Handgriff seitlich
100125100_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100037700_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100085200_horizontal_flip.png,train,Rost/Einlauf rund
100019900_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100188600_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100207500_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100116700_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100109700_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100090500_horizontal_flip.png,train,Rost/Strassenrost
100066700_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100060300_horizontal_flip.png,train,Rost/Strassenrost
100109400_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100179200_horizontal_flip.png,train,Rost/Strassenrost
100184400_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100138100_horizontal_flip.png,train,Rost/Strassenrost
100069000_horizontal_flip.png,train,Rost/Einlauf rund
100140400_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100196000_horizontal_flip.png,train,Rost/Strassenrost
100111800_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100134200_horizontal_flip.png,train,Rost/Strassenrost
100132000_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100027200_horizontal_flip.png,train,Rost/Strassenrost
100120000_horizontal_flip.png,train,Rost/Strassenrost
100101400_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100119900_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100189500_horizontal_flip.png,train,Rost/Strassenrost
100058700_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100025700_horizontal_flip.png,train,Rost/Strassenrost gewoelbt
100003400_horizontal_flip.png,train,Gussbeton/Handgriff seitlich
100065000_horizontal_flip.png,train,Rost/Strassenrost
100040600_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100142100_horizontal_flip.png,train,Rost/Strassenrost
100095600_horizontal_flip.png,train,Rost/Strassenrost
100178300_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100116300_horizontal_flip.png,train,Rost/Strassenrost
100115900_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100157800_horizontal_flip.png,train,Rost/Strassenrost
100172800_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100136400_horizontal_flip.png,train,Rost/Strassenrost
100067900_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100100200_horizontal_flip.png,train,Gussbeton/Handgriff seitlich
100068900_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100178800_horizontal_flip.png,train,Gussbeton/Handgriff seitlich
100208000_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100072400_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100091700_horizontal_flip.png,train,Gussbeton/Handgriff mitte
100073900_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100056100_horizontal_flip.png,train,Rost/Strassenrost
100082600_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100035900_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100139600_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100073200_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100082500_horizontal_flip.png,train,Gussbeton/Handgriff seitlich
100088600_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100167700_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100062300_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100080600_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100213600_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100083100_horizontal_flip.png,train,Rost/Strassenrost
100142600_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100050700_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100129700_horizontal_flip.png,train,Vollguss/Aufklappbar
100152500_horizontal_flip.png,train,Gussbeton/Handgriff seitlich
100111000_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100175100_horizontal_flip.png,train,Rost/Strassenrost
100178500_horizontal_flip.png,train,Rost/Strassenrost
100167600_horizontal_flip.png,train,Rost/Strassenrost
100033100_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100005000_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100105200_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100109200_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100060500_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100040500_horizontal_flip.png,train,Rost/Strassenrost
100207100_horizontal_flip.png,train,Rost/Strassenrost
100109600_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100131200_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100137300_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100130100_horizontal_flip.png,train,Rost/Strassenrost
100037600_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100217400_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100073400_horizontal_flip.png,train,Rost/Strassenrost
100076400_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100154100_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100164500_horizontal_flip.png,train,Rost/Strassenrost
100045400_horizontal_flip.png,train,Rost/Strassenrost
100133500_horizontal_flip.png,train,Gussbeton/Handgriff mitte
100206900_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100204300_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100143200_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100016900_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100036200_horizontal_flip.png,train,Rost/Strassenrost
100181200_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100063900_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100084300_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100015100_horizontal_flip.png,train,Rost/Einlauf rund
100026700_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100059500_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100133800_horizontal_flip.png,train,Rost/Strassenrost
100194400_horizontal_flip.png,train,Rost/Strassenrost
100212000_horizontal_flip.png,train,Rost/Strassenrost
100043500_horizontal_flip.png,train,Rost/Strassenrost
100043000_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100100800_horizontal_flip.png,train,Andere/-
100120200_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100214800_horizontal_flip.png,train,Andere/-
100181400_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100161300_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100161500_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100174600_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100114800_horizontal_flip.png,train,Rost/Strassenrost
100064900_horizontal_flip.png,train,Rost/Strassenrost
100157700_horizontal_flip.png,train,Rost/Strassenrost
100136700_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100178900_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100044800_horizontal_flip.png,train,Rost/Strassenrost
100200200_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100012000_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100028300_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100141600_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100022800_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100212600_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100162400_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100126100_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100118900_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100205900_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100115100_horizontal_flip.png,train,Rost/Strassenrost gewoelbt
100175600_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100027800_horizontal_flip.png,train,Rost/Strassenrost
100066600_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100092900_horizontal_flip.png,train,Rost/Strassenrost
100096400_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100084000_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100032600_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100146400_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100198000_horizontal_flip.png,train,Rost/Strassenrost
100127800_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100111600_horizontal_flip.png,train,Rost/Strassenrost
100210000_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100199900_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100005400_horizontal_flip.png,train,Andere/-
100137400_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100122500_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100176300_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100135200_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100204200_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100081600_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100177600_horizontal_flip.png,train,Andere/-
100184100_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100184700_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100193700_horizontal_flip.png,train,Rost/Strassenrost
100033500_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100105600_horizontal_flip.png,train,Gussbeton/Handgriff seitlich
100141100_horizontal_flip.png,train,Rost/Einlauf rund
100001700_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100145900_horizontal_flip.png,train,Rost/Strassenrost
100002800_horizontal_flip.png,train,Rost/Strassenrost
100116400_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100167200_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100199700_horizontal_flip.png,train,Rost/Strassenrost
100072200_horizontal_flip.png,train,Rost/Strassenrost
100010400_horizontal_flip.png,train,Rost/Strassenrost
100193300_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100132700_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100156800_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100017800_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100003300_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100124400_horizontal_flip.png,train,Rost/Strassenrost
100159800_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100190400_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100082200_horizontal_flip.png,train,Rost/Strassenrost
100129200_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100168300_horizontal_flip.png,train,Rost/Strassenrost
100202300_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100059400_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100115500_horizontal_flip.png,train,Rost/Strassenrost
100038300_horizontal_flip.png,train,Andere/-
100108500_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100132600_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100071900_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100099400_horizontal_flip.png,train,Gussbeton/Handgriff seitlich
100070600_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100182900_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100081000_horizontal_flip.png,train,Rost/Strassenrost
100029600_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100123600_horizontal_flip.png,train,Rost/Strassenrost
100031900_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100185100_horizontal_flip.png,train,Rost/Strassenrost
100209900_horizontal_flip.png,train,Rost/Strassenrost
100002000_horizontal_flip.png,train,Rost/Strassenrost
100125400_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100214900_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100163300_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100018500_horizontal_flip.png,train,Rost/Strassenrost
100135400_horizontal_flip.png,train,Rost/Strassenrost
100055200_horizontal_flip.png,train,Rost/Strassenrost
100199800_horizontal_flip.png,train,Rost/Strassenrost
100062100_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100215300_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100143600_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100047700_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100124700_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100155700_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100206500_horizontal_flip.png,train,Rost/Einlauf rund
100211100_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100068500_horizontal_flip.png,train,Gussbeton/Handgriff mitte
100150000_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100043300_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100037200_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100183600_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100037000_horizontal_flip.png,train,Rost/Einlauf rund
100174300_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100127100_horizontal_flip.png,train,Rost/Strassenrost
100148200_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100194200_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100051500_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100132300_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100194300_horizontal_flip.png,train,Rost/Strassenrost
100132400_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100100600_horizontal_flip.png,train,Rost/Strassenrost
100065600_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100072900_horizontal_flip.png,train,Rost/Strassenrost
100037100_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100041800_horizontal_flip.png,train,Andere/-
100044000_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100038000_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100030200_horizontal_flip.png,train,Rost/Strassenrost
100212500_horizontal_flip.png,train,Rost/Strassenrost
100011900_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100171200_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100206200_horizontal_flip.png,train,Andere/-
100077300_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100018800_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100032000_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100122600_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100197400_horizontal_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100057300_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100165900_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100056700_horizontal_flip.png,train,Rost/Einlauf rund
100022200_horizontal_flip.png,train,Andere/-
100046200_horizontal_flip.png,train,Rost/Strassenrost
100080500_horizontal_flip.png,train,Rost/Strassenrost
100040200_horizontal_flip.png,train,Andere/-
100050000_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100142300_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100030600_horizontal_flip.png,train,Rost/Strassenrost
100018900_horizontal_flip.png,train,Andere/-
100085600_horizontal_flip.png,train,Gussbeton/Handgriff seitlich
100171800_horizontal_flip.png,train,Rost/Strassenrost
100115800_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100202100_horizontal_flip.png,train,Rost/Einlauf rund
100062500_horizontal_flip.png,train,Rost/Einlauf rund
100073600_horizontal_flip.png,train,Gussbeton/Handgriff seitlich
100001600_horizontal_flip.png,train,Rost/Strassenrost
100027300_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100091500_horizontal_flip.png,train,Rost/Strassenrost
100159600_horizontal_flip.png,train,Andere/-
100165600_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100212800_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100046100_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100083800_horizontal_flip.png,train,Rost/Strassenrost
100171100_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100166600_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100083400_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100012100_horizontal_flip.png,train,Rost/Strassenrost
100192000_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100194900_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100096100_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100023100_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100103600_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100049900_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100165200_horizontal_flip.png,train,Rost/Strassenrost
100124000_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100036500_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100187200_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100199600_horizontal_flip.png,train,Gussbeton/Handgriff mitte
100077900_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100185500_horizontal_flip.png,train,Rost/Strassenrost
100132500_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100156200_horizontal_flip.png,train,Rost/Strassenrost
100056400_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100075300_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100002200_horizontal_flip.png,train,Rost/Strassenrost
100124600_horizontal_flip.png,train,Andere/-
100047100_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100160700_horizontal_flip.png,train,Rost/Strassenrost
100129300_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100014100_horizontal_flip.png,train,Rost/Strassenrost
100150200_horizontal_flip.png,train,Rost/Strassenrost
100105300_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100187600_horizontal_flip.png,train,Rost/Strassenrost
100209800_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100191400_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100028200_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100215000_horizontal_flip.png,train,Rost/Einlauf rund
100213200_horizontal_flip.png,train,Rost/Strassenrost
100163600_horizontal_flip.png,train,Rost/Strassenrost
100161400_horizontal_flip.png,train,Andere/-
100170600_horizontal_flip.png,train,Vollguss/Pickelloch geschlossen
100173200_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100020400_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100052700_horizontal_flip.png,train,Gussbeton/Pickelloch belueftet
100050900_horizontal_flip.png,train,Vollguss/Handgriff geschlossen
100077600_horizontal_flip.png,train,Andere/-
100122400_horizontal_flip.png,train,Vollguss/Pickelloch belueftet
100134800_horizontal_flip.png,train,Rost/Strassenrost
100170800_horizontal_flip.png,train,Rost/Strassenrost
100097900_horizontal_flip.png,train,Gussbeton/Pickelloch geschlossen
100045200_horizontal_flip.png,train,Rost/Strassenrost gewoelbt
100209000_horizontal_flip.png,train,Rost/Strassenrost
100038400_horizontal_flip.png,train,Andere/-
